Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Robin Zentner,de GER,GK,Mainz 05,30-168,1994,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,Matches
Cedric Zesiger,ch SUI,DF,Augsburg,26-294,1998,10,10,820,9.1,0,2,2,0,0,0,6,1,0.2,0.2,0.8,1.0,4,25,4,0.22,0.11,Matches
Cedric Zesiger,ch SUI,DF,Wolfsburg,26-294,1998,7,5,522,5.8,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,3,19,2,0.00,0.01,Matches
Michael Zetterer,de GER,GK,Werder Bremen,29-276,1995,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,Matches
Frans Krätzig,de GER,DF,Stuttgart,22-090,2003,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,Matches
Tom Krauß,de GER,MF,Bochum,23-296,2001,10,9,762,8.5,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,14,57,16,0.00,0.10,Matches
Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,26-351,1998,7,0,172,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,12,16,0.00,0.19,Matches
Nediljko Labrović,hr CRO,GK,Augsburg,25-186,1999,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Diogo Leite,pt POR,DF,Union Berlin,26-081,1999,28,27,2393,26.6,0,1,1,0,0,0,3,0,1.1,1.1,1.0,2.1,20,112,16,0.04,0.08,Matches
Anthony Losilla,fr FRA,MF,Bochum,39-035,1986,19,13,1083,12.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,3,42,11,0.00,0.04,Matches
Yannik Lührs,de GER,DF,Dortmund,21-217,2003,3,1,127,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.03,Matches
Castello Lukeba,fr FRA,DF,RB Leipzig,22-118,2002,19,14,1217,13.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,13,56,10,0.00,0.04,Matches
