Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Nico Elvedi,ch SUI,DF,Gladbach,28-196,1996,22,22,1910,21.2,1,1,2,1,0,0,1,0,2.0,2.0,0.4,2.4,18,51,5,0.09,0.11,Matches
Patrick Erras,de GER,DF,Holstein Kiel,30-083,1995,10,10,832,9.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,25,1,0.11,0.11,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,26-288,1998,29,29,2610,29.0,1,0,1,1,0,0,4,0,2.5,2.5,1.3,3.8,11,79,13,0.03,0.13,Matches
Nnamdi Collins,de GER,DF,Eint Frankfurt,21-094,2004,20,13,1267,14.1,1,1,2,1,0,0,1,0,0.8,0.8,1.0,1.8,26,56,36,0.14,0.13,Matches
Siebe Van Der Heyden,be BEL,"DF,MF",St. Pauli,26-319,1998,9,7,607,6.7,1,0,1,1,0,0,2,0,1.7,1.7,0.0,1.8,4,16,15,0.15,0.26,Matches
Denis Vavro,sk SVK,DF,Wolfsburg,29-004,1996,24,22,2026,22.5,1,0,1,1,0,0,3,0,1.2,1.2,0.2,1.4,8,84,2,0.04,0.06,Matches
Yorbe Vertessen,be BEL,"MF,FW",Union Berlin,24-096,2001,17,7,718,8.0,1,0,1,1,0,0,2,0,1.3,1.3,1.6,2.9,18,16,42,0.13,0.36,Matches
Ridle Baku,de GER,"DF,MF",RB Leipzig,27-006,1998,14,12,981,10.9,1,2,3,1,0,0,1,0,1.1,1.1,0.6,1.7,18,24,72,0.28,0.16,Matches
Kevin Behrens,de GER,FW,Wolfsburg,34-070,1991,17,0,154,1.7,1,0,1,1,0,0,2,0,2.3,2.3,0.1,2.4,2,2,17,0.58,1.42,Matches
Kevin Vogt,de GER,DF,Union Berlin,33-203,1991,15,14,1196,13.3,1,0,1,0,1,1,5,0,0.8,0.0,0.0,0.0,8,58,0,0.00,0.06,Matches
László Bénes,sk SVK,"MF,FW",Union Berlin,27-217,1997,18,2,482,5.4,1,1,2,1,0,0,4,0,0.7,0.7,0.9,1.6,4,26,30,0.37,0.30,Matches
Lukas Ullrich,de GER,DF,Gladbach,21-029,2004,21,19,1492,16.6,1,2,3,1,0,0,4,0,0.9,0.9,1.8,2.7,22,30,55,0.18,0.16,Matches
Mergim Berisha,de GER,"FW,MF",Hoffenheim,26-338,1998,11,3,333,3.7,1,1,2,1,0,0,1,0,1.0,1.0,1.0,2.0,2,7,18,0.54,0.54,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,29-363,1995,26,18,1572,17.5,1,5,6,1,0,0,6,0,1.2,1.2,2.7,3.9,19,88,55,0.34,0.22,Matches
Anthony Caci,fr FRA,DF,Mainz 05,27-287,1997,28,28,2328,25.9,1,7,8,1,0,0,6,0,3.0,3.0,6.1,9.0,39,119,132,0.31,0.35,Matches
Emi Buendía,ar ARG,"MF,FW",Leverkusen,28-110,1996,7,1,131,1.5,1,0,1,1,0,0,0,0,0.8,0.8,0.8,1.6,2,12,17,0.69,1.10,Matches
Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,26-207,1998,11,3,376,4.2,1,0,1,1,0,0,1,0,0.3,0.3,1.2,1.5,17,15,36,0.24,0.35,Matches
Carlo Boukhalfa,ma MAR,MF,St. Pauli,25-346,1999,20,14,1232,13.7,1,0,1,1,0,0,0,0,0.8,0.8,0.4,1.3,10,31,32,0.07,0.09,Matches
Noah Weißhaupt,de GER,"FW,MF",St. Pauli,23-206,2001,14,11,945,10.5,1,0,1,1,0,0,0,0,1.7,1.7,1.8,3.5,33,25,80,0.10,0.33,Matches
Josha Vagnoman,de GER,"DF,MF",Stuttgart,24-124,2000,23,18,1702,18.9,1,1,2,1,0,0,4,0,1.4,1.4,1.5,2.9,23,44,83,0.11,0.15,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,24-203,2000,29,14,1291,14.3,1,3,4,1,0,0,1,0,4.1,4.1,1.7,5.8,32,19,120,0.28,0.40,Matches
Carney Chukwuemeka,eng ENG,MF,Dortmund,21-176,2003,6,1,158,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.4,1.0,9,13,12,0.57,0.58,Matches
Fares Chaïbi,dz ALG,"FW,MF",Eint Frankfurt,22-137,2002,21,8,854,9.5,1,1,2,1,0,0,2,0,2.4,2.4,1.7,4.1,13,45,62,0.21,0.43,Matches
Angelo Stiller,de GER,MF,Stuttgart,24-010,2001,28,27,2456,27.3,1,6,7,1,0,0,5,0,1.4,1.4,6.5,7.9,31,245,56,0.26,0.29,Matches
Leonidas Stergiou,ch SUI,DF,Stuttgart,23-042,2002,10,9,711,7.9,1,2,3,1,0,0,0,1,1.1,1.1,0.9,1.9,10,31,16,0.38,0.25,Matches
Sirlord Conteh,de GER,"FW,MF",Heidenheim,28-279,1996,26,3,750,8.3,1,1,2,1,0,0,1,0,1.4,1.4,2.3,3.7,27,19,66,0.24,0.44,Matches
Andreas Skov Olsen,dk DEN,"FW,MF",Wolfsburg,25-106,1999,9,3,372,4.1,1,1,2,1,0,0,0,0,0.6,0.6,1.5,2.1,14,16,32,0.48,0.52,Matches
André Silva,pt POR,FW,Werder Bremen,29-159,1995,7,4,375,4.2,1,0,1,0,1,2,1,0,2.6,1.0,0.4,1.4,6,10,28,0.00,0.71,Matches
André Silva,pt POR,"FW,MF",RB Leipzig,29-159,1995,8,0,132,1.5,1,2,3,0,1,1,0,0,1.3,0.5,0.6,1.1,6,4,11,1.36,1.28,Matches
Justin Diehl,de GER,"FW,DF",Stuttgart,20-138,2004,6,0,104,1.2,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,5,20,0.87,0.94,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,24-163,2000,19,17,1560,17.3,1,2,3,1,0,0,0,0,1.2,1.2,1.6,2.8,81,120,140,0.17,0.16,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,26-195,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,2.7,1.9,0.7,2.6,8,11,19,0.44,0.74,Matches
Bence Dárdai,hu HUN,MF,Wolfsburg,19-080,2006,17,13,1031,11.5,1,1,2,1,0,0,0,0,1.0,1.0,1.0,1.9,3,31,17,0.17,0.17,Matches
Mahmoud Dahoud,de GER,MF,Eint Frankfurt,29-103,1996,9,3,364,4.0,1,1,2,1,0,0,2,0,0.5,0.5,0.7,1.2,1,17,6,0.49,0.31,Matches
Tomáš Čvančara,cz CZE,FW,Gladbach,24-244,2000,23,5,614,6.8,1,0,1,1,0,0,4,1,3.0,3.0,0.4,3.4,12,20,38,0.15,0.50,Matches
Manolis Saliakas,gr GRE,"MF,DF",St. Pauli,28-214,1996,25,21,1891,21.0,1,1,2,1,0,0,3,0,1.2,1.2,2.5,3.6,27,85,71,0.10,0.17,Matches
Philipp Sander,de GER,MF,Gladbach,27-052,1998,24,14,1250,13.9,1,0,1,1,0,0,2,0,1.0,1.0,0.6,1.6,12,53,25,0.07,0.12,Matches
Kilian Fischer,de GER,DF,Wolfsburg,24-184,2000,28,25,1982,22.0,1,0,1,1,0,0,6,0,0.3,0.3,0.4,0.7,43,92,72,0.05,0.03,Matches
